荣耀9i 4GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,1199.00,111万+
Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G手机,6499.00,120万+
荣耀8X 千元屏霸 91%屏占比 2000万AI双摄 4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,69万+
小米8 全面屏游戏智能手机 6GB+64GB 蓝色 全网通4G 双卡双待,2299.00,85万+
一加手机6T 8GB+128GB 墨岩黑 光感屏幕指纹 全面屏双摄游戏手机 全网通4G 双卡双待,3599.00,8.4万+
Apple iPhone XS Max (A2104) 256GB 深空灰色 移动联通电信4G手机 双卡双待,10999.00,26万+
Apple iPhone XR (A2108) 128GB 黑色 移动联通电信4G手机 双卡双待,6999.00,28万+
华为 HUAWEI P20 AI智慧徕卡双摄全面屏游戏手机 6GB+64GB 极光色 全网通移动联通电信4G手机 双卡双待,3387.00,53万+
魅族 15 全面屏手机 全网通公开版 4GB+64GB 砚黑 移动联通电信4G手机 双卡双待,1498.00,3万+
vivo X23 8GB+128GB 幻夜蓝 水滴屏全面屏 游戏手机 移动联通电信全网通4G手机,3198.00,7万+
华为 HUAWEI Mate 20 麒麟980AI智能芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB亮黑色全网通版双4G手机,4499.00,10万+
小米 红米Note5 全网通版 6GB+128GB 黑色 移动联通电信4G手机 双卡双待,1399.00,67万+
vivo Z3 6GB+64GB 极光蓝 性能实力派 全面屏游戏手机 移动联通电信全网通4G手机,1798.00,13万+
荣耀10 GT游戏加速 AIS手持夜景 6GB+64GB 幻夜黑 全网通 移动联通电信4G 双卡双待 游戏手机,2198.00,94万+
vivo Z1极光特别版 新一代全面屏AI双摄手机 4GB+64GB  移动联通电信全网通4G手机,1398.00,44万+
黑鲨游戏手机 Helo 双液冷 更能打 8GB+128GB 极夜黑 全网通4G 双卡双待,3499.00,2.2万+
小米 红米6 3GB+32GB 铂银灰 全网通4G手机 双卡双待 老人机 智能拍照手机,729.00,49万+
Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机,4599.00,114万+
小米MIX2S 全面屏游戏手机 6GB+128GB 黑色 全网通4G 陶瓷手机,2699.00,18万+
荣耀Play 全网通版 6GB+64GB 幻夜黑 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,39万+
小米 红米6 Pro AI美颜双摄 4GB+32GB 曜石黑 全网通4G手机 双卡双待,929.00,38万+
360手机 N7 Pro 全网通 6GB+64GB 玛瑙黑 移动联通电信4G手机 双卡双待 全面屏 游戏手机,1599.00,8.9万+
Apple iPhone 8 Plus 64GB 红色特别版 移动联通电信4G手机,5699.00,155万+
华为 HUAWEI Mate 20 X 麒麟980芯片全面屏超微距影像超大广角徕卡三摄6GB+128GB宝石蓝全网通版双4G游戏手机,4999.00,3万+
vivo X23全息幻彩版 6GB+128GB 北极晨曦 水滴屏全面屏 游戏手机 移动联通电信全网通4G手机,2798.00,2.2万+
荣耀畅玩8C两天一充 莱茵护眼 刘海屏 全网通版4GB+32GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,999.00,8.1万+
OPPO K1 光感屏幕指纹 水滴屏拍照手机 6G+64G 墨玉黑 全网通 移动联通电信4G 双卡双待手机,1799.00,16万+
华为 HUAWEI 畅享9 Plus 4GB+64GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待,1398.00,9.5万+
荣耀 V10 高配版 6GB+64GB 炫影蓝 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,106万+
荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,3.9万+
荣耀 V10 高配版 6GB+64GB 炫影蓝 移动联通电信4G全面屏游戏手机 双卡双待,1999.00,106万+
荣耀10青春版 幻彩渐变 2400万AI自拍 全网通版4GB+64GB 幻夜黑 移动联通电信4G全面屏手机 双卡双待,1399.00,3.9万+
三星 Galaxy S9（SM-G9600/DS）4GB+64GB 夕雾紫 移动联通电信4G手机 双卡双待,5148.00,3万+
荣耀畅玩7C 全面屏手机 全网通标配版 3GB+32GB 铂光金 移动联通电信4G手机 双卡双待,799.00,77万+
Apple iPhone 6s Plus (A1699) 128G 玫瑰金色 移动联通电信4G手机,3499.00,81万+
小米 红米6A AI美颜 3GB+32GB 流沙金 全网通4G手机 双卡双待,649.00,55万+
Apple iPhone XS (A2100) 64GB 深空灰色 移动联通电信4G手机,8699.00,10万+
小米8SE 全面屏智能游戏拍照手机 6GB+64GB 灰色 骁龙处理器 全网通4G 双卡双待,1699.00,52万+
荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏手机 双卡双待 游戏手机,2699.00,9.3万+
荣耀Magic2 麒麟980AI智能芯片 超广角AI三摄 6GB+128GB 渐变黑 移动联通电信4G手机 双卡双待,3799.00,5.1万+
Z36GB+64GB极光蓝性能实力派全面屏游戏手机,1798.00,13万+
华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,699.00,14万+
一加手机6 8GB+128GB 亮瓷黑 全面屏双摄游戏手机 全网通4G 双卡双待,2999.00,43万+
荣耀畅玩7A 全面屏手机 全网通标配版 2GB+32GB 铂光金 移动联通电信4G手机 双卡双待,699.00,41万+
小米8青春版 镜面渐变AI双摄 6GB+64GB 深空灰 全网通4G 双卡双待 全面屏拍照游戏智能手机,1599.00,15万+
华为 HUAWEI P20 Pro 全面屏徕卡三摄游戏手机 6GB+128GB 极光闪蝶色 全网通移动联通电信4G手机 双卡双待,4987.00,30万+
华为 HUAWEI nova 3全面屏高清四摄游戏手机 6GB+128GB 亮黑色 全网通移动联通电信4G手机 双卡双待,2799.00,18万+
黑鲨游戏手机 8GB+128GB 极夜黑 液冷更快 全网通4G 双卡双待,2599.00,12万+
vivo Z1极光特别版 新一代全面屏AI双摄,1398.00,44万+
小米Max2 大屏手机 4GB+64GB 金色 全网通4G手机 双卡双待,1099.00,38万+
OPPO R17新年版 2500万美颜拍照 6.4英寸水滴屏 光感屏幕指纹 6G+128G 全网通 移动联通电信4G 双卡双待手机,2799.00,8.1万+
荣耀8X Max 7.12英寸90%屏占比珍珠屏 4GB+64GB 魅海蓝 移动联通电信4G全面屏手机 双卡双待,1499.00,13万+
vivo Z1青春版 新一代全面屏AI双摄手机 4GB+32GB 极光色 移动联通电信全网通4G手机,1098.00,1.7万+
华为 HUAWEI nova 3e全面屏2400万前置摄像 4GB +64GB铂光金 全网通版移动联通电信4G手机 双卡双待,1590.00,29万+
小米6X 全网通 6GB+64GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,1399.00,66万+
华为 HUAWEI nova 2S 全面屏四摄 4GB +64GB 曜石黑 移动联通电信4G手机 双卡双待,1599.00,27万+
vivo Y73 3GB+32GB 香槟金 大屏大内存全面屏手机 移动联通电信全网通4G手机,799.00,3.6万+
华为 HUAWEI Mate 10 Pro 全面屏徕卡双摄游戏手机 6GB+64GB 银钻灰 全网通移动联通电信4G手机 双卡双待,3399.00,24万+
飞利浦（PHILIPS）E171L 曜石黑 直板按键 移动联通 老人手机 老年功能机,198.00,13万+
360手机 N7 Lite 全网通 4GB+64GB 幻影黑  移动联通电信4G手机 双卡双待 全面屏 游戏手机,1199.00,6.1万+
小米6X 全网通 6GB+64GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,1399.00,66万+
华为 HUAWEI nova 2S 全面屏四摄 4GB +64GB 曜石黑 移动联通电信4G手机 双卡双待,1599.00,27万+
vivo Y73 3GB+32GB 香槟金 大屏大内存全面屏手机 移动联通电信全网通4G手机,799.00,3.6万+
华为 HUAWEI Mate 10 Pro 全面屏徕卡双摄游戏手机 6GB+64GB 银钻灰 全网通移动联通电信4G手机 双卡双待,3399.00,24万+
一加手机6 8GB+128GB 亮瓷黑 全面屏双摄游戏手机 全网通4G 双卡双待,2999.00,43万+
飞利浦（PHILIPS）E171L 曜石黑 直板按键 移动联通 老人手机 老年功能机,198.00,13万+
360手机 N7 Lite 全网通 4GB+64GB 幻影黑  移动联通电信4G手机 双卡双待 全面屏 游戏手机,1199.00,6.1万+
荣耀 畅玩7 2GB+16GB 金色 全网通4G手机 双卡双待,599.00,33万+
小米8 全面屏游戏智能手机 6GB+64GB 黑色 全网通4G 双卡双待,2499.00,85万+
努比亚（nubia）Z17mini 6GB+64GB 香槟金 全网通 移动联通电信4G手机 双卡双待,999.00,15万+
魅族 魅蓝 6T 全面屏手机 全网通公开版 3GB+32GB 曜石黑 移动联通电信4G手机 双卡双待,699.00,5.9万+
三星 Galaxy S8（SM-G9500）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,3499.00,9.6万+
联想Z5 6GB+64GB 舒曼黑 6.2英寸全面屏双摄 全网通4G手机  双卡双待,1098.00,12万+
小米8屏幕指纹版 8GB+128GB 透明版 全网通4G 双卡双待 全面屏拍照游戏智能手机,3299.00,4万+
华为 HUAWEI 畅享7S 全面屏双摄 4GB +64GB 黑色 移动联通电信4G手机 双卡双待,1199.00,21万+
荣耀 畅玩7X 4GB+32GB 全网通4G全面屏手机 标配版 铂光金,999.00,119万+
一加手机6T 8GB+128GB 亮瓷黑 光感屏幕指纹 全面屏双摄游戏手机 全网通4G 双卡双待,3599.00,8.4万+
小米Mix3 8GB+256GB黑色 骁龙845全网通4G 双卡双待 全面屏拍照游戏智能手机,3999.00,4.7万+
联想A5 3GB+16GB 螺黛黑 5.45英寸全面屏 全网通手机 双卡双待,538.00,1.4万+
vivo NEX 零界全面屏AI双摄游戏手机 8GB+128GB 星钻黑 移动联通电信全网通4G手机,4298.00,10万+
华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待,1599.00,1.6万+
中兴天机 Axon 7s公开版 华尔金 4G+128G 超清双摄 天籁音质 双卡双待全网通4G手机,1199.00,2100+
魅族 16th 全面屏游戏手机 6GB+64GB 静夜黑 全网通移动联通电信4G手机 双卡双待,2698.00,9万+
Apple iPhone 7 (A1660) 32G 黑色 移动联通电信4G手机,3799.00,86万+
努比亚 nubia 红魔Mars电竞手机 全面屏 游戏手机 8GB+128GB 曜石黑 移动联通电信4G手机 双卡双待,3199.00,4700+
华为（HUAWEI） 荣耀9i手机 幻夜黑 全网通4+64G标配版,1078.00,1.6万+
飞利浦 PHILIPS E258S 宝石蓝 直板按键 移动/联通2G 老人手机 老年功能手机,178.00,4.2万+
Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机,5399.00,86万+
华为（HUAWEI） 荣耀 畅玩7 全网通 移动联通电信4G 全面屏智能老人手机 双卡双待 金色 (2G RAM+16G ROM),499.90,1.7万+
vivo X21 全面屏 双摄拍照游戏手机 6GB+128GB 冰钻黑 移动联通电信全网通4G手机,2498.00,14万+
诺基亚（NOKIA）新105 黑色 直板按键 移动联通2G手机 老人手机 学生备用功能机,149.00,52万+
vivo Y83 刘海全面屏 4GB+32GB 极夜黑 移动联通电信4G手机,999.00,4.6万+
一加手机6T 8GB+128GB 亮瓷黑 光感屏幕指纹 全面屏双摄游戏手机 全网通4G 双卡双待,3599.00,8.4万+
三星 Galaxy S8+（SM-G9550）6GB+128GB 勃艮第红 移动联通电信4G手机 双卡双待,4299.00,6.4万+
Apple 苹果 iPhone XR 手机 黑色 全网通 128GB,6398.00,9700+
诺基亚 NOKIA X7 4GB+64GB 暗夜蓝 蔡司认证 AI智能美拍 全网通 4G双卡双待,1699.00,3.7万+
联想K5 3GB+32GB 精灵蓝 全面屏双摄 全网通手机 双卡双待,698.00,4700+
飞利浦（PHILIPS） E106 石墨黑 环保材质 防尘防滑 直板按键 移动联通2G 双卡双待 老人手机 学生备用功能机,99.00,42万+
华为 HUAWEI nova 3i 全面屏高清四摄游戏手机4GB+128GB 亮黑色 全网通移动联通电信4G手机双卡双待,1899.00,11万+
魅族 M15 全面屏手机 全网通公开版 4GB+64GB 曜岩黑  双卡双待 魅族 15青春版,1198.00,3.2万+
努比亚 nubia 红魔Mars电竞手机 全面屏 游戏手机 8GB+128GB 曜石黑 移动联通电信4G手机 双卡双待,3199.00,4700+
OPPO Find X曲面全景屏 波尔多红 8GB+128GB 全网通 移动联通电信全网通4G 双卡双待手机,4999.00,5.8万+
爱心东东小米（MI） 红米6A 智能老人手机 流沙金 全网通 2G+16G,508.00,4.4万+
小米Max3 大屏游戏智能手机 6GB+128GB 黑色 全网通4G手机 双卡双待,1899.00,9.3万+
诺基亚 NOKIA X6 6GB+64GB 星空黑 全网通 双卡双待 移动联通电信4G手机,1599.00,17万+
华为畅享8 全面屏三卡槽 4GB+64GB 金色 全网通高配版 移动联通电信4G手机 双卡双待,1199.00,17万+
飞利浦（PHILIPS） E163K 陨石黑 移动联通2G直板按键老人手机 双卡双待 超长待机 老年手机 学生备用功能机,129.00,14万+
小辣椒 红辣椒7X 4+64GB 学生智能手机 美颜双摄 微Q多开 人脸识别 移动联通电信4G全网通 蓝色,699.00,4.7万+
联想Z5 6GB+64GB 舒曼黑 6.2英寸全面屏双摄 全网通4G手机  双卡双待,1098.00,12万+
OPPO 【直降200+6期免息】R17 幻色渐变机身屏下指纹手机 6+128G 6.4英寸 流光蓝 全网通(6G RAM+128G ROM),2799.00,1.1万+
魅族 15 全面屏手机 全网通公开版 4GB+64GB 砚黑 移动联通电信4G手机 双卡双待,1498.00,3万+
OPPO 【3期免息】K1 首款千元屏下指纹解锁手机 6.4英寸水滴屏 梵星蓝（6+64G）,1799.00,2.5万+
中兴 ZTE Blade A3 曜石黑 3G+32G 国民长续航 双摄大内存 双卡双待全网通4G手机,549.00,5.4万+
小辣椒 红辣椒Q5+高配版 2GB+16GB 白色 学生老人手机 智能商务手机 移动联通电信4G 双卡双待,359.00,1.9万+
小米 红米5 Plus 全面屏拍照手机 4GB+64GB 金色 全网通4G手机 双卡双待,999.00,90万+
魅族 V8 全面屏手机 3GB+32GB 磨砂黑 全网通移动联通电信4G手机 双卡双待,699.00,1.4万+
三星 Galaxy A9s (SM-A9200) 后置四摄 Bixby 全面屏手机6GB+128GB 鱼子黑 全网通4G 双卡双待,3499.00,2700+
锤子（smartisan） 坚果 R1 8G+128GB 碳黑色 全面屏双摄  全网通4G手机 双卡双待  游戏手机,2999.00,5.3万+
OPPO A5 全面屏拍照手机 4GB+64GB 幻镜粉 全网通 移动联通电信4G 双卡双待手机,1499.00,7.5万+
守护宝（上海中兴）F888  直板 按键 超长待机 三防老人手机 双卡双待 黑色 2G移动/联通版,178.00,10万+
